Site,Month,Caccobius_bawangensis,Catharsius_dayacus,Catharsius_renaudpauliani,Copis_agnus,Copis_ramosiceps,Copis_sinicus,Microcopis_doriae,Microcopis_hidakai,Onthophagus_hidakai,Onthophagus_liliputanus,Onthophagus_variolaris,Onthophagus_tridentibialus,Onthophagus_falculatus,Onthophagus_angustatus,Onthophagus_aphodioides,Onthophagus_aurifex,Onthophagus_borneensis,Onthophagus_brendelli,Onthophagus_cervicapra,Onthophagus_clivimerus,Onthophagus_deliensis,Onthophagus_dux,Onthophagus_fujiii,Onthophagus_incisus,Onthophagus_kawaharai,Onthophagus_laevis,Onthophagus_nigriobscurior,Onthophagus_aurifex,Onthophagus_obscurior,Onthophagus_ochromerus,Onthophagus_pacificus,Onthophagus_pastillatus,Onthophagus_pavidus,Onthophagus_rorarius,Onthophagus_rudis,Onthophagus_rugicollis,Onthophagus_sarawacus,Onthophagus_sideki,Onthophagus_semiaureus,Onthophagus_semicupreus,Onthophagus_taeniatus,Onthophagus_trituber,Onthophagus_vethi,Onthophagus_vulpes,Onthophagus_waterstradti,Ochicanthon_dytiscoides,Ochicanthon_masumotoi,Ochicanthon_woroae,Panelus_kalimantanicus,Paragymnopleurus_maurus,Paragymnopleurus_sparsus,Paragymnopleurus_striatus,Proagoderus_watanabei,Synapsis_ritsemae,Sisyphus_thoracicus,Yvescambefortius_sarawacus,Anoctus_laevis,Onthophagus_batillifer,Onthophagus_pencillatus,Onthophagus_mulleri,Onthophagus_diabolicus,Onthophagus_rutilans,Onthophagus_deflexicollis,Oniticellus_tessellatus,Ochicanthon_hidakai,Onthophagus_phanaeides,,,,,,,,,,,,,
1,January,0,5,8,0,0,9,1,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,1,3,0,4,0,0,0,16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,44,6,2,13,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,January,1,6,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,January,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,8,0,1,0,0,0,0,19,0,0,2,0,0,0,1,0,0,19,0,0,0,0,0,0,0,27,5,0,17,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,February,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,20,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,February,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,2,33,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,12,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,March,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,8,1,1,0,0,0,0,29,0,0,0,1,0,0,0,0,0,13,2,0,0,0,0,0,0,2,10,0,2,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,March,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,75,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,8,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,April,0,1,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9,0,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,May,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,18,0,0,0,2,0,0,1,0,0,11,0,0,0,0,0,0,0,10,1,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,May,0,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,13,1,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,May,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,June,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,0,0,0,0,13,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,29,1,0,0,0,0,0,0,18,1,1,24,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,July,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,0,0,0,0,0,7,1,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,10,4,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,August,1,3,6,0,0,4,8,4,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,1,2,0,0,0,0,0,32,0,3,0,0,1,2,34,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,4,0,9,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,October,0,2,8,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,46,3,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,4,1,28,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,October,0,0,7,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,1,0,0,0,0,0,24,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,November,0,2,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,21,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,November,0,10,5,0,0,4,15,1,0,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,2,0,0,0,0,1,19,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,7,7,1,14,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,December,0,1,10,1,0,5,6,4,0,0,0,0,0,0,0,1,0,0,0,31,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,7,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
